Post ID,Platform,Date,Content Type,Post Text,Likes,Shares,Comments,Impressions,Reach,Clicks,Hashtags Used,Campaign_Name,Total Engagement ,Engagement Rate,Campaign_Name2,Start Date,End Date,Budget
P001,Twitter,23-12-2024,Reel,Check out our latest reel on twitter!,1461.00,184.00,344.00,21915.00,21675.00,15.00,#LiveForNow,SummerSplash,1989.00,9.08%,No Campaign,,,
P001,Twitter,23-12-2024,Reel,Check out our latest reel on twitter!,1461.00,184.00,344.00,21915.00,21675.00,15.00,#AnytimeIsPepsiTime,SummerSplash,1989.00,9.08%,No Campaign,,,
P002,Twitter,03-04-2025,Text,Check out our latest text on twitter!,4054.00,389.00,493.00,64864.00,64383.00,117.00,#PepsiCoRefresh,FestiveRadiance,4936.00,7.61%,No Campaign,,,
P002,Twitter,03-04-2025,Text,Check out our latest text on twitter!,4054.00,389.00,493.00,64864.00,64383.00,117.00,#BetterWithPepsi,FestiveRadiance,4936.00,7.61%,No Campaign,,,
P003,YouTube,12-05-2025,Reel,Check out our latest reel on youtube!,2795.00,105.00,49.00,53105.00,52307.00,204.00,#PepsiCoRefresh,NewYearRefresh,2949.00,5.55%,No Campaign,,,
P004,Instagram,12-08-2024,Story,Check out our latest story on instagram!,2404.00,363.00,138.00,19232.00,18636.00,128.00,#ThirstyForMore,DailyWellness,2905.00,15.11%,No Campaign,,,
P005,YouTube,26-06-2024,Reel,Check out our latest reel on youtube!,3557.00,687.00,424.00,71140.00,70701.00,224.00,#ThirstyForMore,SummerSplash,4668.00,6.56%,SummerSplash,15-06-2024,15-07-2024,"? 1,50,000.00"
P005,YouTube,26-06-2024,Reel,Check out our latest reel on youtube!,3557.00,687.00,424.00,71140.00,70701.00,224.00,#PepsiCoRefresh,SummerSplash,4668.00,6.56%,SummerSplash,15-06-2024,15-07-2024,"? 1,50,000.00"
P006,Facebook,31-10-2024,Carousel,Check out our latest carousel on facebook!,2945.00,930.00,355.00,23560.00,23275.00,256.00,#PepsiCoRefresh,FestiveRadiance,4230.00,17.95%,FestiveRadiance,01-10-2024,31-10-2024,"? 2,00,000.00"
P007,Twitter,24-06-2024,Carousel,Check out our latest carousel on twitter!,3860.00,201.00,279.00,61760.00,61660.00,235.00,#PepsiCoRefresh,FestiveRadiance,4340.00,7.03%,SummerSplash,15-06-2024,15-07-2024,"? 1,50,000.00"
P008,YouTube,13-07-2024,Image,Check out our latest image on youtube!,3929.00,262.00,278.00,43219.00,42841.00,39.00,#ThirstyForMore,DailyWellness,4469.00,10.34%,SummerSplash,15-06-2024,15-07-2024,"? 1,50,000.00"
P009,Facebook,30-08-2024,Text,Check out our latest text on facebook!,3784.00,808.00,404.00,56760.00,56343.00,131.00,#PepsiCoRefresh,FestiveRadiance,4996.00,8.80%,No Campaign,,,
P010,Facebook,11-03-2025,Image,Check out our latest image on facebook!,4241.00,902.00,47.00,72097.00,71598.00,167.00,#PepsiCoRefresh,FestiveRadiance,5190.00,7.20%,DailyWellness,01-03-2025,31-03-2025,"? 1,80,000.00"
P011,Instagram,02-02-2025,Story,Check out our latest story on instagram!,1792.00,614.00,497.00,25088.00,24675.00,65.00,#LiveForNow,DailyWellness,2903.00,11.57%,No Campaign,,,
P012,Facebook,21-07-2024,Reel,Check out our latest reel on facebook!,1946.00,686.00,377.00,23352.00,22982.00,213.00,#LiveForNow,NewYearRefresh,3009.00,12.89%,No Campaign,,,
P013,YouTube,18-11-2024,Carousel,Check out our latest carousel on youtube!,1171.00,286.00,231.00,22249.00,21282.00,114.00,#ThirstyForMore,SummerSplash,1688.00,7.59%,No Campaign,,,
P014,Facebook,16-02-2025,Story,Check out our latest story on facebook!,4242.00,555.00,131.00,33936.00,33802.00,265.00,#LiveForNow,,4928.00,14.52%,No Campaign,,,
P015,Facebook,24-10-2024,Video,Check out our latest video on facebook!,3888.00,604.00,128.00,77760.00,77167.00,20.00,#LiveForNow,SummerSplash,4620.00,5.94%,FestiveRadiance,01-10-2024,31-10-2024,"? 2,00,000.00"
P016,Facebook,26-08-2024,Text,Check out our latest text on facebook!,3452.00,377.00,360.00,55232.00,55075.00,87.00,#LiveForNow,NewYearRefresh,4189.00,7.58%,No Campaign,,,
P017,Facebook,05-05-2025,Text,Check out our latest text on facebook!,4441.00,511.00,70.00,53292.00,53082.00,159.00,#ThirstyForMore,DailyWellness,5022.00,9.42%,No Campaign,,,
P018,Instagram,19-08-2024,Reel,Check out our latest reel on instagram!,3000.00,382.00,325.00,36000.00,35819.00,19.00,#LiveForNow,SummerSplash,3707.00,10.30%,No Campaign,,,
P019,Instagram,23-06-2024,Video,Check out our latest video on instagram!,1071.00,519.00,22.00,16065.00,15865.00,103.00,#PepsiCoRefresh,DailyWellness,1612.00,10.03%,SummerSplash,15-06-2024,15-07-2024,"? 1,50,000.00"
P020,Instagram,09-09-2024,Carousel,Check out our latest carousel on instagram!,4054.00,488.00,373.00,77026.00,76881.00,25.00,#PepsiCoRefresh,SummerSplash,4915.00,6.38%,No Campaign,,,
P021,Instagram,04-01-2025,Reel,Check out our latest reel on instagram!,4838.00,640.00,128.00,72570.00,72396.00,83.00,#LiveForNow,DailyWellness,5606.00,7.72%,NewYearRefresh,25-12-2024,10-01-2025,"? 2,50,000.00"
P022,Facebook,27-02-2025,Text,Check out our latest text on facebook!,1570.00,187.00,260.00,25120.00,24613.00,133.00,#PepsiCoRefresh,DailyWellness,2017.00,8.03%,No Campaign,,,
P023,Facebook,06-11-2024,Video,Check out our latest video on facebook!,1606.00,547.00,316.00,32120.00,31736.00,225.00,#PepsiCoRefresh,FestiveRadiance,2469.00,7.69%,No Campaign,,,
P023,Facebook,06-11-2024,Video,Check out our latest video on facebook!,1606.00,547.00,316.00,32120.00,31736.00,225.00,#AnytimeIsPepsiTime,FestiveRadiance,2469.00,7.69%,No Campaign,,,
P024,Facebook,23-01-2025,Video,Check out our latest video on facebook!,3961.00,761.00,131.00,67337.00,66615.00,161.00,#LiveForNow,NewYearRefresh,4853.00,7.21%,No Campaign,,,
P025,Twitter,10-04-2025,Carousel,Check out our latest carousel on twitter!,3128.00,211.00,197.00,59432.00,59182.00,238.00,#ThirstyForMore,,3536.00,5.95%,No Campaign,,,
P026,YouTube,05-04-2025,Reel,Check out our latest reel on youtube!,3009.00,413.00,358.00,42126.00,41309.00,211.00,#LiveForNow,FestiveRadiance,3780.00,8.97%,No Campaign,,,
P027,YouTube,17-09-2024,Text,Check out our latest text on youtube!,2076.00,195.00,104.00,33216.00,32244.00,51.00,#LiveForNow,DailyWellness,2375.00,7.15%,No Campaign,,,
P028,Instagram,04-03-2025,Video,Check out our latest video on instagram!,432.00,624.00,123.00,6912.00,6259.00,79.00,#LiveForNow,DailyWellness,1179.00,17.06%,DailyWellness,01-03-2025,31-03-2025,"? 1,80,000.00"
P029,Instagram,31-01-2025,Carousel,Check out our latest carousel on instagram!,2566.00,118.00,37.00,12830.00,12264.00,221.00,#LiveForNow,NewYearRefresh,2721.00,21.21%,No Campaign,,,
P030,Instagram,25-02-2025,Video,Check out our latest video on instagram!,3095.00,39.00,78.00,55710.00,54808.00,93.00,#ThirstyForMore,,3212.00,5.77%,No Campaign,,,
P031,Instagram,16-12-2024,Text,Check out our latest text on instagram!,438.00,153.00,275.00,3066.00,2701.00,282.00,#PepsiCoRefresh,FestiveRadiance,866.00,28.25%,No Campaign,,,
P032,Twitter,31-07-2024,Carousel,Check out our latest carousel on twitter!,2278.00,10.00,321.00,13668.00,12676.00,275.00,#ThirstyForMore,SummerSplash,2609.00,19.09%,No Campaign,,,
P033,Facebook,21-08-2024,Image,Check out our latest image on facebook!,1407.00,400.00,351.00,16884.00,15954.00,113.00,#PepsiCoRefresh,SummerSplash,2158.00,12.78%,No Campaign,,,
P034,Facebook,26-03-2025,Text,Check out our latest text on facebook!,1652.00,89.00,357.00,29736.00,28771.00,215.00,#PepsiCoRefresh,NewYearRefresh,2098.00,7.06%,DailyWellness,01-03-2025,31-03-2025,"? 1,80,000.00"
P035,Instagram,30-11-2024,Video,Check out our latest video on instagram!,3775.00,16.00,239.00,33975.00,33310.00,271.00,#LiveForNow,FestiveRadiance,4030.00,11.86%,No Campaign,,,
P036,Instagram,19-04-2025,Story,Check out our latest story on instagram!,4518.00,285.00,383.00,67770.00,67621.00,31.00,#ThirstyForMore,FestiveRadiance,5186.00,7.65%,No Campaign,,,
P037,Facebook,06-01-2025,Carousel,Check out our latest carousel on facebook!,3024.00,925.00,350.00,24192.00,23518.00,36.00,#ThirstyForMore,FestiveRadiance,4299.00,17.77%,NewYearRefresh,25-12-2024,10-01-2025,"? 2,50,000.00"
P038,YouTube,17-02-2025,Reel,Check out our latest reel on youtube!,3138.00,123.00,291.00,28242.00,27550.00,87.00,#PepsiCoRefresh,DailyWellness,3552.00,12.58%,No Campaign,,,
P039,Facebook,25-11-2024,Image,Check out our latest image on facebook!,3564.00,629.00,177.00,60588.00,59627.00,92.00,#PepsiCoRefresh,,4370.00,7.21%,No Campaign,,,
P040,Twitter,07-03-2025,Image,Check out our latest image on twitter!,4750.00,151.00,415.00,38000.00,37792.00,299.00,#ThirstyForMore,DailyWellness,5316.00,13.99%,DailyWellness,01-03-2025,31-03-2025,"? 1,80,000.00"
P041,Instagram,08-03-2025,Reel,Check out our latest reel on instagram!,456.00,629.00,428.00,8208.00,7377.00,205.00,#LiveForNow,DailyWellness,1513.00,18.43%,DailyWellness,01-03-2025,31-03-2025,"? 1,80,000.00"
P042,YouTube,05-03-2025,Reel,Check out our latest reel on youtube!,1543.00,820.00,333.00,12344.00,11496.00,241.00,#ThirstyForMore,,2696.00,21.84%,DailyWellness,01-03-2025,31-03-2025,"? 1,80,000.00"
P043,Instagram,14-12-2024,Carousel,Check out our latest carousel on instagram!,2174.00,658.00,15.00,13044.00,12206.00,137.00,#PepsiCoRefresh,NewYearRefresh,2847.00,21.83%,No Campaign,,,
P044,Twitter,02-03-2025,Image,Check out our latest image on twitter!,2358.00,784.00,344.00,35370.00,34475.00,216.00,#PepsiCoRefresh,,3486.00,9.86%,DailyWellness,01-03-2025,31-03-2025,"? 1,80,000.00"
P045,Facebook,01-11-2024,Video,Check out our latest video on facebook!,3371.00,106.00,327.00,50565.00,49816.00,176.00,#LiveForNow,SummerSplash,3804.00,7.52%,No Campaign,,,
P046,Twitter,02-05-2025,Video,Check out our latest video on twitter!,1108.00,177.00,212.00,8864.00,8710.00,97.00,#PepsiCoRefresh,DailyWellness,1497.00,16.89%,No Campaign,,,
P047,Twitter,24-02-2025,Carousel,Check out our latest carousel on twitter!,2704.00,752.00,153.00,21632.00,20792.00,127.00,#LiveForNow,,3609.00,16.68%,No Campaign,,,
P048,Twitter,11-03-2025,Story,Check out our latest story on twitter!,1950.00,295.00,478.00,37050.00,36272.00,119.00,#PepsiCoRefresh,,2723.00,7.35%,DailyWellness,01-03-2025,31-03-2025,"? 1,80,000.00"
P049,Twitter,10-06-2024,Story,Check out our latest story on twitter!,2164.00,549.00,274.00,28132.00,27361.00,177.00,#PepsiCoRefresh,DailyWellness,2987.00,10.62%,No Campaign,,,
P050,YouTube,03-07-2024,Story,Check out our latest story on youtube!,2754.00,130.00,90.00,22032.00,21288.00,112.00,#PepsiCoRefresh,NewYearRefresh,2974.00,13.50%,SummerSplash,15-06-2024,15-07-2024,"? 1,50,000.00"
P051,Facebook,13-06-2024,Carousel,Check out our latest carousel on facebook!,2200.00,504.00,239.00,37400.00,36938.00,225.00,#LiveForNow,FestiveRadiance,2943.00,7.87%,No Campaign,,,
P052,Facebook,03-01-2025,Image,Check out our latest image on facebook!,947.00,338.00,350.00,10417.00,9730.00,34.00,#PepsiCoRefresh,DailyWellness,1635.00,15.70%,NewYearRefresh,25-12-2024,10-01-2025,"? 2,50,000.00"
P053,YouTube,24-02-2025,Carousel,Check out our latest carousel on youtube!,804.00,639.00,43.00,4020.00,3144.00,11.00,#ThirstyForMore,,1486.00,36.97%,No Campaign,,,
P053,YouTube,24-02-2025,Carousel,Check out our latest carousel on youtube!,804.00,639.00,43.00,4020.00,3144.00,11.00,#BetterWithPepsi,,1486.00,36.97%,No Campaign,,,
P054,YouTube,13-03-2025,Carousel,Check out our latest carousel on youtube!,1686.00,904.00,472.00,18546.00,18171.00,52.00,#LiveForNow,FestiveRadiance,3062.00,16.51%,DailyWellness,01-03-2025,31-03-2025,"? 1,80,000.00"
P055,Facebook,17-06-2024,Image,Check out our latest image on facebook!,1226.00,119.00,7.00,14712.00,14049.00,123.00,#ThirstyForMore,DailyWellness,1352.00,9.19%,SummerSplash,15-06-2024,15-07-2024,"? 1,50,000.00"
P056,Facebook,18-12-2024,Carousel,Check out our latest carousel on facebook!,2946.00,498.00,367.00,29460.00,28527.00,60.00,#LiveForNow,NewYearRefresh,3811.00,12.94%,No Campaign,,,
P057,Twitter,21-10-2024,Video,Check out our latest video on twitter!,2825.00,535.00,295.00,45200.00,44739.00,169.00,#PepsiCoRefresh,SummerSplash,3655.00,8.09%,FestiveRadiance,01-10-2024,31-10-2024,"? 2,00,000.00"
P058,Instagram,15-04-2025,Reel,Check out our latest reel on instagram!,103.00,770.00,19.00,1030.00,410.00,262.00,#PepsiCoRefresh,DailyWellness,892.00,86.60%,No Campaign,,,
P059,Instagram,22-06-2024,Text,Check out our latest text on instagram!,2180.00,263.00,387.00,30520.00,30059.00,174.00,#ThirstyForMore,,2830.00,9.27%,SummerSplash,15-06-2024,15-07-2024,"? 1,50,000.00"
P060,Instagram,28-01-2025,Video,Check out our latest video on instagram!,904.00,973.00,63.00,11752.00,11580.00,84.00,#ThirstyForMore,NewYearRefresh,1940.00,16.51%,No Campaign,,,
P060,Instagram,28-01-2025,Video,Check out our latest video on instagram!,904.00,973.00,63.00,11752.00,11580.00,84.00,#PepsiCoRefresh,NewYearRefresh,1940.00,16.51%,No Campaign,,,
P060,Instagram,28-01-2025,Video,Check out our latest video on instagram!,904.00,973.00,63.00,11752.00,11580.00,84.00,#AnytimeIsPepsiTime,NewYearRefresh,1940.00,16.51%,No Campaign,,,
P061,Twitter,05-09-2024,Video,Check out our latest video on twitter!,4886.00,983.00,409.00,43974.00,43239.00,65.00,#PepsiCoRefresh,SummerSplash,6278.00,14.28%,No Campaign,,,
P062,Twitter,22-11-2024,Carousel,Check out our latest carousel on twitter!,53.00,81.00,379.00,954.00,7.00,148.00,#PepsiCoRefresh,NewYearRefresh,513.00,53.77%,No Campaign,,,
P063,Twitter,31-07-2024,Carousel,Check out our latest carousel on twitter!,4507.00,217.00,13.00,90140.00,89591.00,125.00,#LiveForNow,NewYearRefresh,4737.00,5.26%,No Campaign,,,
P064,Facebook,17-08-2024,Image,Check out our latest image on facebook!,2878.00,248.00,416.00,43170.00,42667.00,75.00,#LiveForNow,NewYearRefresh,3542.00,8.20%,No Campaign,,,
P065,Instagram,28-03-2025,Story,Check out our latest story on instagram!,1881.00,501.00,99.00,20691.00,19987.00,289.00,#ThirstyForMore,,2481.00,11.99%,DailyWellness,01-03-2025,31-03-2025,"? 1,80,000.00"
P066,Twitter,26-07-2024,Carousel,Check out our latest carousel on twitter!,432.00,171.00,280.00,3024.00,2285.00,184.00,#ThirstyForMore,SummerSplash,883.00,29.20%,No Campaign,,,
P067,Facebook,29-03-2025,Carousel,Check out our latest carousel on facebook!,4712.00,568.00,127.00,84816.00,84691.00,100.00,#ThirstyForMore,NewYearRefresh,5407.00,6.37%,DailyWellness,01-03-2025,31-03-2025,"? 1,80,000.00"
P068,Instagram,08-12-2024,Story,Check out our latest story on instagram!,2610.00,126.00,288.00,15660.00,15145.00,73.00,#ThirstyForMore,,3024.00,19.31%,No Campaign,,,
P069,Twitter,08-03-2025,Text,Check out our latest text on twitter!,1292.00,626.00,496.00,25840.00,24916.00,149.00,#LiveForNow,NewYearRefresh,2414.00,9.34%,DailyWellness,01-03-2025,31-03-2025,"? 1,80,000.00"
P070,Facebook,02-04-2025,Video,Check out our latest video on facebook!,199.00,772.00,400.00,3582.00,2988.00,43.00,#PepsiCoRefresh,,1371.00,38.27%,No Campaign,,,
P071,YouTube,02-09-2024,Carousel,Check out our latest carousel on youtube!,2551.00,915.00,205.00,30612.00,30360.00,227.00,#PepsiCoRefresh,FestiveRadiance,3671.00,11.99%,No Campaign,,,
P072,YouTube,03-03-2025,Reel,Check out our latest reel on youtube!,296.00,60.00,141.00,5624.00,5239.00,88.00,#ThirstyForMore,FestiveRadiance,497.00,8.84%,DailyWellness,01-03-2025,31-03-2025,"? 1,80,000.00"
P073,Facebook,18-10-2024,Story,Check out our latest story on facebook!,4126.00,426.00,486.00,78394.00,77798.00,88.00,#LiveForNow,DailyWellness,5038.00,6.43%,FestiveRadiance,01-10-2024,31-10-2024,"? 2,00,000.00"
P074,YouTube,28-10-2024,Reel,Check out our latest reel on youtube!,1855.00,200.00,174.00,16695.00,16330.00,123.00,#PepsiCoRefresh,NewYearRefresh,2229.00,13.35%,FestiveRadiance,01-10-2024,31-10-2024,"? 2,00,000.00"
P075,Instagram,01-08-2024,Reel,Check out our latest reel on instagram!,1674.00,929.00,37.00,21762.00,20998.00,255.00,#PepsiCoRefresh,DailyWellness,2640.00,12.13%,No Campaign,,,
P076,Twitter,07-11-2024,Story,Check out our latest story on twitter!,1121.00,135.00,18.00,15694.00,14957.00,99.00,#PepsiCoRefresh,DailyWellness,1274.00,8.12%,No Campaign,,,
P077,Facebook,04-03-2025,Story,Check out our latest story on facebook!,1249.00,116.00,420.00,8743.00,8538.00,63.00,#PepsiCoRefresh,,1785.00,20.42%,DailyWellness,01-03-2025,31-03-2025,"? 1,80,000.00"
P078,Twitter,17-06-2024,Image,Check out our latest image on twitter!,954.00,324.00,288.00,19080.00,18859.00,21.00,#LiveForNow,DailyWellness,1566.00,8.21%,SummerSplash,15-06-2024,15-07-2024,"? 1,50,000.00"
P079,Instagram,09-10-2024,Carousel,Check out our latest carousel on instagram!,3068.00,137.00,329.00,39884.00,39404.00,266.00,#ThirstyForMore,FestiveRadiance,3534.00,8.86%,FestiveRadiance,01-10-2024,31-10-2024,"? 2,00,000.00"
P080,Instagram,13-06-2024,Story,Check out our latest story on instagram!,2103.00,892.00,103.00,39957.00,39466.00,28.00,#LiveForNow,,3098.00,7.75%,No Campaign,,,
P081,Instagram,19-10-2024,Story,Check out our latest story on instagram!,1816.00,29.00,41.00,19976.00,19262.00,283.00,#PepsiCoRefresh,NewYearRefresh,1886.00,9.44%,FestiveRadiance,01-10-2024,31-10-2024,"? 2,00,000.00"
P082,Instagram,24-07-2024,Image,Check out our latest image on instagram!,725.00,88.00,428.00,14500.00,13637.00,200.00,#LiveForNow,NewYearRefresh,1241.00,8.56%,No Campaign,,,
P082,Instagram,24-07-2024,Image,Check out our latest image on instagram!,725.00,88.00,428.00,14500.00,13637.00,200.00,#PepsiCoRefresh,NewYearRefresh,1241.00,8.56%,No Campaign,,,
P082,Instagram,24-07-2024,Image,Check out our latest image on instagram!,725.00,88.00,428.00,14500.00,13637.00,200.00,#AnytimeIsPepsiTime,NewYearRefresh,1241.00,8.56%,No Campaign,,,
P083,YouTube,15-10-2024,Video,Check out our latest video on youtube!,1094.00,472.00,21.00,9846.00,9609.00,112.00,#ThirstyForMore,,1587.00,16.12%,FestiveRadiance,01-10-2024,31-10-2024,"? 2,00,000.00"
P084,Facebook,09-12-2024,Image,Check out our latest image on facebook!,1841.00,851.00,342.00,34979.00,34154.00,255.00,#LiveForNow,DailyWellness,3034.00,8.67%,No Campaign,,,
P085,Instagram,19-04-2025,Image,Check out our latest image on instagram!,4177.00,569.00,55.00,25062.00,24847.00,230.00,#LiveForNow,SummerSplash,4801.00,19.16%,No Campaign,,,
P086,YouTube,27-01-2025,Text,Check out our latest text on youtube!,3428.00,305.00,85.00,58276.00,58052.00,242.00,#ThirstyForMore,DailyWellness,3818.00,6.55%,No Campaign,,,
P086,YouTube,27-01-2025,Text,Check out our latest text on youtube!,3428.00,305.00,85.00,58276.00,58052.00,242.00,#BetterWithPepsi,DailyWellness,3818.00,6.55%,No Campaign,,,
P087,Twitter,06-06-2024,Video,Check out our latest video on twitter!,1436.00,765.00,496.00,12924.00,12701.00,197.00,#LiveForNow,NewYearRefresh,2697.00,20.87%,No Campaign,,,
P088,Facebook,07-07-2024,Story,Check out our latest story on facebook!,302.00,47.00,430.00,5738.00,4890.00,25.00,#PepsiCoRefresh,DailyWellness,779.00,13.58%,SummerSplash,15-06-2024,15-07-2024,"? 1,50,000.00"
P089,Twitter,10-01-2025,Image,Check out our latest image on twitter!,2214.00,249.00,152.00,15498.00,14800.00,180.00,#ThirstyForMore,,2615.00,16.87%,NewYearRefresh,25-12-2024,10-01-2025,"? 2,50,000.00"
P090,Instagram,03-06-2024,Image,Check out our latest image on instagram!,3861.00,960.00,101.00,69498.00,68817.00,297.00,#PepsiCoRefresh,DailyWellness,4922.00,7.08%,No Campaign,,,
P091,Facebook,24-03-2025,Image,Check out our latest image on facebook!,1263.00,397.00,357.00,25260.00,24615.00,137.00,#ThirstyForMore,DailyWellness,2017.00,7.98%,DailyWellness,01-03-2025,31-03-2025,"? 1,80,000.00"
P092,Twitter,21-10-2024,Story,Check out our latest story on twitter!,3801.00,967.00,401.00,38010.00,37625.00,236.00,#LiveForNow,NewYearRefresh,5169.00,13.60%,FestiveRadiance,01-10-2024,31-10-2024,"? 2,00,000.00"
P093,Instagram,11-12-2024,Video,Check out our latest video on instagram!,1431.00,951.00,26.00,8586.00,8396.00,150.00,#ThirstyForMore,NewYearRefresh,2408.00,28.05%,No Campaign,,,
P094,Instagram,07-11-2024,Image,Check out our latest image on instagram!,2647.00,304.00,170.00,18529.00,17841.00,46.00,#LiveForNow,NewYearRefresh,3121.00,16.84%,No Campaign,,,
P095,Instagram,08-11-2024,Text,Check out our latest text on instagram!,3182.00,559.00,160.00,57276.00,56890.00,163.00,#LiveForNow,DailyWellness,3901.00,6.81%,No Campaign,,,
P096,Twitter,10-09-2024,Image,Check out our latest image on twitter!,1238.00,366.00,444.00,19808.00,19334.00,123.00,#LiveForNow,,2048.00,10.34%,No Campaign,,,
P097,Instagram,13-08-2024,Image,Check out our latest image on instagram!,4739.00,527.00,135.00,61607.00,61333.00,36.00,#PepsiCoRefresh,FestiveRadiance,5401.00,8.77%,No Campaign,,,
P097,Instagram,13-08-2024,Image,Check out our latest image on instagram!,4739.00,527.00,135.00,61607.00,61333.00,36.00,#AnytimeIsPepsiTime,FestiveRadiance,5401.00,8.77%,No Campaign,,,
P098,Twitter,10-06-2024,Story,Check out our latest story on twitter!,1575.00,771.00,486.00,25200.00,24826.00,17.00,#LiveForNow,DailyWellness,2832.00,11.24%,No Campaign,,,
P099,YouTube,02-07-2024,Carousel,Check out our latest carousel on youtube!,4171.00,548.00,86.00,66736.00,66634.00,173.00,#LiveForNow,NewYearRefresh,4805.00,7.20%,SummerSplash,15-06-2024,15-07-2024,"? 1,50,000.00"
P100,YouTube,10-02-2025,Video,Check out our latest video on youtube!,1766.00,92.00,424.00,24724.00,24333.00,52.00,#ThirstyForMore,,2282.00,9.23%,No Campaign,,,
