Post ID,Platform,Date,Content Type,Post Text,Likes,Shares,Comments,Impressions,Reach,Clicks,Hashtags Used,Campaign_Name,Total Engagement ,Engagement Rate,Campaign_Name2,Start Date,End Date,Budget
P101,YouTube,18-10-2024,Video,Check out our latest video on youtube!,4450.00,983.00,143.00,75650.00,75008.00,12.00,#LiveForNow,NewYearRefresh,5576.00,7.37%,FestiveRadiance,01-10-2024,31-10-2024,"? 2,00,000.00"
P102,Twitter,18-09-2024,Reel,Check out our latest reel on twitter!,1000.00,978.00,162.00,6000.00,5221.00,223.00,#ThirstyForMore,FestiveRadiance,2140.00,35.67%,No Campaign,,,
P103,Facebook,11-06-2024,Image,Check out our latest image on facebook!,3689.00,48.00,306.00,40579.00,39588.00,212.00,#ThirstyForMore,FestiveRadiance,4043.00,9.96%,No Campaign,,,
P104,YouTube,23-03-2025,Story,Check out our latest story on youtube!,3655.00,568.00,286.00,32895.00,32015.00,199.00,#PepsiCoRefresh,NewYearRefresh,4509.00,13.71%,DailyWellness,01-03-2025,31-03-2025,"? 1,80,000.00"
P105,Instagram,14-06-2024,Carousel,Check out our latest carousel on instagram!,498.00,38.00,42.00,4482.00,3647.00,32.00,#LiveForNow,SummerSplash,578.00,12.90%,No Campaign,,,
P106,Instagram,04-02-2025,Image,Check out our latest image on instagram!,4619.00,821.00,499.00,69285.00,69141.00,298.00,#PepsiCoRefresh,DailyWellness,5939.00,8.57%,No Campaign,,,
P107,YouTube,21-06-2024,Image,Check out our latest image on youtube!,4832.00,893.00,10.00,91808.00,91296.00,182.00,#PepsiCoRefresh,,5735.00,6.25%,SummerSplash,15-06-2024,15-07-2024,"? 1,50,000.00"
P108,Twitter,25-03-2025,Video,Check out our latest video on twitter!,4050.00,871.00,347.00,52650.00,51755.00,209.00,#PepsiCoRefresh,FestiveRadiance,5268.00,10.01%,DailyWellness,01-03-2025,31-03-2025,"? 1,80,000.00"
P109,Twitter,08-08-2024,Story,Check out our latest story on twitter!,3649.00,215.00,413.00,25543.00,24963.00,167.00,#LiveForNow,NewYearRefresh,4277.00,16.74%,No Campaign,,,
P110,Instagram,29-07-2024,Reel,Check out our latest reel on instagram!,3523.00,753.00,482.00,38753.00,38579.00,270.00,#ThirstyForMore,FestiveRadiance,4758.00,12.28%,No Campaign,,,
P111,YouTube,23-11-2024,Image,Check out our latest image on youtube!,2719.00,17.00,285.00,40785.00,40281.00,40.00,#PepsiCoRefresh,FestiveRadiance,3021.00,7.41%,No Campaign,,,
P112,Twitter,05-10-2024,Story,Check out our latest story on twitter!,1957.00,877.00,238.00,17613.00,16865.00,297.00,#LiveForNow,NewYearRefresh,3072.00,17.44%,FestiveRadiance,01-10-2024,31-10-2024,"? 2,00,000.00"
P113,Twitter,02-10-2024,Carousel,Check out our latest carousel on twitter!,4419.00,236.00,369.00,44190.00,43582.00,10.00,#ThirstyForMore,SummerSplash,5024.00,11.37%,FestiveRadiance,01-10-2024,31-10-2024,"? 2,00,000.00"
P114,Twitter,14-11-2024,Story,Check out our latest story on twitter!,4000.00,689.00,488.00,40000.00,39569.00,44.00,#LiveForNow,SummerSplash,5177.00,12.94%,No Campaign,,,
P115,Twitter,11-05-2025,Image,Check out our latest image on twitter!,2493.00,97.00,44.00,42381.00,41991.00,242.00,#PepsiCoRefresh,DailyWellness,2634.00,6.22%,No Campaign,,,
P115,Twitter,11-05-2025,Image,Check out our latest image on twitter!,2493.00,97.00,44.00,42381.00,41991.00,242.00,#AnytimeIsPepsiTime,DailyWellness,2634.00,6.22%,No Campaign,,,
P116,YouTube,18-03-2025,Reel,Check out our latest reel on youtube!,3704.00,186.00,458.00,25928.00,25081.00,131.00,#PepsiCoRefresh,,4348.00,16.77%,DailyWellness,01-03-2025,31-03-2025,"? 1,80,000.00"
P117,Twitter,04-11-2024,Image,Check out our latest image on twitter!,1606.00,451.00,405.00,20878.00,20190.00,219.00,#ThirstyForMore,DailyWellness,2462.00,11.79%,No Campaign,,,
P118,Facebook,04-11-2024,Image,Check out our latest image on facebook!,4551.00,714.00,207.00,68265.00,67754.00,57.00,#LiveForNow,NewYearRefresh,5472.00,8.02%,No Campaign,,,
P119,Instagram,07-02-2025,Reel,Check out our latest reel on instagram!,1970.00,675.00,478.00,9850.00,8924.00,117.00,#LiveForNow,,3123.00,31.71%,No Campaign,,,
P120,Facebook,21-10-2024,Story,Check out our latest story on facebook!,780.00,928.00,301.00,8580.00,8081.00,91.00,#ThirstyForMore,NewYearRefresh,2009.00,23.41%,FestiveRadiance,01-10-2024,31-10-2024,"? 2,00,000.00"
P121,Instagram,29-07-2024,Story,Check out our latest story on instagram!,498.00,701.00,412.00,4980.00,4185.00,185.00,#LiveForNow,,1611.00,32.35%,No Campaign,,,
P122,Instagram,02-10-2024,Text,Check out our latest text on instagram!,3432.00,869.00,123.00,54912.00,53916.00,264.00,#ThirstyForMore,FestiveRadiance,4424.00,8.06%,FestiveRadiance,01-10-2024,31-10-2024,"? 2,00,000.00"
P123,Instagram,14-06-2024,Story,Check out our latest story on instagram!,4363.00,649.00,140.00,21815.00,21481.00,157.00,#ThirstyForMore,SummerSplash,5152.00,23.62%,No Campaign,,,
P124,YouTube,06-04-2025,Carousel,Check out our latest carousel on youtube!,736.00,771.00,225.00,5152.00,4706.00,19.00,#ThirstyForMore,SummerSplash,1732.00,33.62%,No Campaign,,,
P125,Twitter,08-09-2024,Carousel,Check out our latest carousel on twitter!,3811.00,866.00,216.00,34299.00,34088.00,233.00,#PepsiCoRefresh,DailyWellness,4893.00,14.27%,No Campaign,,,
P126,Instagram,28-03-2025,Carousel,Check out our latest carousel on instagram!,4158.00,167.00,241.00,45738.00,45183.00,142.00,#LiveForNow,,4566.00,9.98%,DailyWellness,01-03-2025,31-03-2025,"? 1,80,000.00"
P127,Facebook,27-01-2025,Reel,Check out our latest reel on facebook!,3452.00,652.00,442.00,65588.00,65049.00,158.00,#LiveForNow,NewYearRefresh,4546.00,6.93%,No Campaign,,,
P128,Twitter,10-01-2025,Image,Check out our latest image on twitter!,3092.00,106.00,291.00,27828.00,27217.00,102.00,#LiveForNow,,3489.00,12.54%,NewYearRefresh,25-12-2024,10-01-2025,"? 2,50,000.00"
P129,Twitter,21-07-2024,Text,Check out our latest text on twitter!,2147.00,430.00,393.00,17176.00,16483.00,170.00,#PepsiCoRefresh,,2970.00,17.29%,No Campaign,,,
P130,YouTube,29-09-2024,Reel,Check out our latest reel on youtube!,2936.00,439.00,44.00,38168.00,37571.00,22.00,#ThirstyForMore,DailyWellness,3419.00,8.96%,No Campaign,,,
P131,Instagram,21-10-2024,Reel,Check out our latest reel on instagram!,4840.00,658.00,211.00,43560.00,43225.00,57.00,#LiveForNow,NewYearRefresh,5709.00,13.11%,FestiveRadiance,01-10-2024,31-10-2024,"? 2,00,000.00"
P132,Instagram,04-03-2025,Story,Check out our latest story on instagram!,1947.00,842.00,101.00,21417.00,20967.00,186.00,#LiveForNow,FestiveRadiance,2890.00,13.49%,DailyWellness,01-03-2025,31-03-2025,"? 1,80,000.00"
P133,Facebook,06-02-2025,Image,Check out our latest image on facebook!,2072.00,532.00,71.00,37296.00,36467.00,25.00,#PepsiCoRefresh,DailyWellness,2675.00,7.17%,No Campaign,,,
P134,Twitter,24-04-2025,Reel,Check out our latest reel on twitter!,3731.00,115.00,135.00,55965.00,55436.00,103.00,#PepsiCoRefresh,SummerSplash,3981.00,7.11%,No Campaign,,,
P135,Facebook,28-11-2024,Text,Check out our latest text on facebook!,4213.00,253.00,434.00,75834.00,75437.00,272.00,#LiveForNow,DailyWellness,4900.00,6.46%,No Campaign,,,
P136,Instagram,11-07-2024,Text,Check out our latest text on instagram!,3134.00,888.00,444.00,21938.00,21337.00,130.00,#ThirstyForMore,DailyWellness,4466.00,20.36%,SummerSplash,15-06-2024,15-07-2024,"? 1,50,000.00"
P137,Facebook,31-07-2024,Video,Check out our latest video on facebook!,3008.00,94.00,37.00,15040.00,14639.00,277.00,#LiveForNow,,3139.00,20.87%,No Campaign,,,
P138,Twitter,29-03-2025,Image,Check out our latest image on twitter!,305.00,187.00,243.00,4575.00,3704.00,234.00,#LiveForNow,NewYearRefresh,735.00,16.07%,DailyWellness,01-03-2025,31-03-2025,"? 1,80,000.00"
P139,YouTube,29-10-2024,Text,Check out our latest text on youtube!,2746.00,156.00,203.00,32952.00,32147.00,147.00,#ThirstyForMore,SummerSplash,3105.00,9.42%,FestiveRadiance,01-10-2024,31-10-2024,"? 2,00,000.00"
P140,Facebook,15-07-2024,Image,Check out our latest image on facebook!,2291.00,78.00,485.00,18328.00,18101.00,10.00,#ThirstyForMore,FestiveRadiance,2854.00,15.57%,SummerSplash,15-06-2024,15-07-2024,"? 1,50,000.00"
P140,Facebook,15-07-2024,Image,Check out our latest image on facebook!,2291.00,78.00,485.00,18328.00,18101.00,10.00,#SmoothLikeNitroPepsi,FestiveRadiance,2854.00,15.57%,SummerSplash,15-06-2024,15-07-2024,"? 1,50,000.00"
P141,Twitter,31-08-2024,Image,Check out our latest image on twitter!,3170.00,857.00,379.00,19020.00,18559.00,240.00,#LiveForNow,,4406.00,23.17%,No Campaign,,,
P142,YouTube,25-03-2025,Story,Check out our latest story on youtube!,2070.00,275.00,386.00,39330.00,38627.00,114.00,#LiveForNow,DailyWellness,2731.00,6.94%,DailyWellness,01-03-2025,31-03-2025,"? 1,80,000.00"
P143,YouTube,02-10-2024,Carousel,Check out our latest carousel on youtube!,80.00,362.00,80.00,1040.00,349.00,117.00,#PepsiCoRefresh,NewYearRefresh,522.00,50.19%,FestiveRadiance,01-10-2024,31-10-2024,"? 2,00,000.00"
P144,YouTube,28-10-2024,Story,Check out our latest story on youtube!,4929.00,749.00,452.00,93651.00,92810.00,66.00,#ThirstyForMore,DailyWellness,6130.00,6.55%,FestiveRadiance,01-10-2024,31-10-2024,"? 2,00,000.00"
P145,Instagram,12-08-2024,Carousel,Check out our latest carousel on instagram!,1878.00,62.00,179.00,37560.00,36874.00,142.00,#PepsiCoRefresh,DailyWellness,2119.00,5.64%,No Campaign,,,
P146,YouTube,05-06-2024,Reel,Check out our latest reel on youtube!,3065.00,772.00,142.00,18390.00,17875.00,200.00,#ThirstyForMore,,3979.00,21.64%,No Campaign,,,
P146,YouTube,05-06-2024,Reel,Check out our latest reel on youtube!,3065.00,772.00,142.00,18390.00,17875.00,200.00,#AnytimeIsPepsiTime,,3979.00,21.64%,No Campaign,,,
P147,Instagram,21-10-2024,Reel,Check out our latest reel on instagram!,3256.00,459.00,266.00,26048.00,25529.00,143.00,#PepsiCoRefresh,FestiveRadiance,3981.00,15.28%,FestiveRadiance,01-10-2024,31-10-2024,"? 2,00,000.00"
P148,Instagram,15-04-2025,Video,Check out our latest video on instagram!,4133.00,466.00,327.00,24798.00,24620.00,176.00,#ThirstyForMore,DailyWellness,4926.00,19.86%,No Campaign,,,
P149,Twitter,16-06-2024,Video,Check out our latest video on twitter!,1702.00,750.00,179.00,34040.00,33174.00,76.00,#ThirstyForMore,SummerSplash,2631.00,7.73%,SummerSplash,15-06-2024,15-07-2024,"? 1,50,000.00"
P150,YouTube,22-08-2024,Carousel,Check out our latest carousel on youtube!,4295.00,853.00,325.00,85900.00,85788.00,290.00,#PepsiCoRefresh,DailyWellness,5473.00,6.37%,No Campaign,,,
P151,Instagram,26-07-2024,Image,Check out our latest image on instagram!,3559.00,59.00,289.00,35590.00,35105.00,122.00,#ThirstyForMore,SummerSplash,3907.00,10.98%,No Campaign,,,
P152,Facebook,22-04-2025,Image,Check out our latest image on facebook!,4804.00,550.00,270.00,28824.00,28370.00,47.00,#ThirstyForMore,DailyWellness,5624.00,19.51%,No Campaign,,,
P153,Twitter,01-01-2025,Video,Check out our latest video on twitter!,754.00,197.00,257.00,6786.00,6221.00,212.00,#PepsiCoRefresh,NewYearRefresh,1208.00,17.80%,NewYearRefresh,25-12-2024,10-01-2025,"? 2,50,000.00"
P154,Instagram,09-10-2024,Carousel,Check out our latest carousel on instagram!,985.00,932.00,287.00,6895.00,6757.00,64.00,#LiveForNow,DailyWellness,2204.00,31.97%,FestiveRadiance,01-10-2024,31-10-2024,"? 2,00,000.00"
P155,YouTube,21-12-2024,Image,Check out our latest image on youtube!,2283.00,210.00,130.00,22830.00,22617.00,143.00,#LiveForNow,FestiveRadiance,2623.00,11.49%,No Campaign,,,
P156,Facebook,22-10-2024,Carousel,Check out our latest carousel on facebook!,3352.00,941.00,482.00,43576.00,43338.00,240.00,#LiveForNow,FestiveRadiance,4775.00,10.96%,FestiveRadiance,01-10-2024,31-10-2024,"? 2,00,000.00"
P157,YouTube,23-07-2024,Story,Check out our latest story on youtube!,4775.00,173.00,206.00,47750.00,47544.00,187.00,#LiveForNow,FestiveRadiance,5154.00,10.79%,No Campaign,,,
P158,Instagram,11-08-2024,Story,Check out our latest story on instagram!,1762.00,405.00,423.00,22906.00,21925.00,25.00,#PepsiCoRefresh,SummerSplash,2590.00,11.31%,No Campaign,,,
P159,Facebook,25-11-2024,Story,Check out our latest story on facebook!,2120.00,158.00,488.00,12720.00,12085.00,17.00,#LiveForNow,FestiveRadiance,2766.00,21.75%,No Campaign,,,
P160,Twitter,24-08-2024,Video,Check out our latest video on twitter!,1082.00,209.00,484.00,19476.00,18654.00,20.00,#PepsiCoRefresh,,1775.00,9.11%,No Campaign,,,
P161,Twitter,19-02-2025,Text,Check out our latest text on twitter!,4671.00,876.00,366.00,51381.00,50565.00,245.00,#PepsiCoRefresh,DailyWellness,5913.00,11.51%,No Campaign,,,
P162,Facebook,01-04-2025,Story,Check out our latest story on facebook!,3430.00,566.00,164.00,48020.00,47305.00,120.00,#LiveForNow,,4160.00,8.66%,No Campaign,,,
P163,Instagram,08-04-2025,Image,Check out our latest image on instagram!,4501.00,375.00,323.00,22505.00,21836.00,132.00,#PepsiCoRefresh,FestiveRadiance,5199.00,23.10%,No Campaign,,,
P164,YouTube,27-02-2025,Text,Check out our latest text on youtube!,4934.00,971.00,156.00,39472.00,39025.00,169.00,#PepsiCoRefresh,DailyWellness,6061.00,15.36%,No Campaign,,,
P164,YouTube,27-02-2025,Text,Check out our latest text on youtube!,4934.00,971.00,156.00,39472.00,39025.00,169.00,#AnytimeIsPepsiTime,DailyWellness,6061.00,15.36%,No Campaign,,,
P165,Twitter,11-12-2024,Text,Check out our latest text on twitter!,3239.00,43.00,211.00,22673.00,22171.00,230.00,#PepsiCoRefresh,FestiveRadiance,3493.00,15.41%,No Campaign,,,
P166,Twitter,16-02-2025,Reel,Check out our latest reel on twitter!,1076.00,313.00,306.00,11836.00,11596.00,104.00,#LiveForNow,SummerSplash,1695.00,14.32%,No Campaign,,,
P167,Instagram,28-11-2024,Text,Check out our latest text on instagram!,4771.00,818.00,56.00,57252.00,56378.00,150.00,#LiveForNow,,5645.00,9.86%,No Campaign,,,
P168,Facebook,12-11-2024,Text,Check out our latest text on facebook!,2418.00,754.00,54.00,43524.00,42743.00,182.00,#ThirstyForMore,SummerSplash,3226.00,7.41%,No Campaign,,,
P169,YouTube,03-12-2024,Video,Check out our latest video on youtube!,3809.00,273.00,200.00,34281.00,33534.00,83.00,#ThirstyForMore,SummerSplash,4282.00,12.49%,No Campaign,,,
P170,Twitter,28-04-2025,Text,Check out our latest text on twitter!,3577.00,596.00,493.00,67963.00,67839.00,53.00,#PepsiCoRefresh,NewYearRefresh,4666.00,6.87%,No Campaign,,,
P171,YouTube,31-12-2024,Video,Check out our latest video on youtube!,1018.00,447.00,332.00,18324.00,18164.00,38.00,#LiveForNow,FestiveRadiance,1797.00,9.81%,NewYearRefresh,25-12-2024,10-01-2025,"? 2,50,000.00"
P172,Facebook,14-08-2024,Carousel,Check out our latest carousel on facebook!,3073.00,553.00,174.00,52241.00,51605.00,246.00,#ThirstyForMore,NewYearRefresh,3800.00,7.27%,No Campaign,,,
P173,Twitter,05-12-2024,Video,Check out our latest video on twitter!,1330.00,925.00,35.00,15960.00,15379.00,229.00,#LiveForNow,NewYearRefresh,2290.00,14.35%,No Campaign,,,
P174,Facebook,22-06-2024,Text,Check out our latest text on facebook!,3828.00,148.00,253.00,30624.00,30229.00,235.00,#ThirstyForMore,,4229.00,13.81%,SummerSplash,15-06-2024,15-07-2024,"? 1,50,000.00"
P175,Instagram,17-01-2025,Reel,Check out our latest reel on instagram!,142.00,784.00,183.00,1704.00,995.00,154.00,#LiveForNow,DailyWellness,1109.00,65.08%,No Campaign,,,
P176,Facebook,20-06-2024,Video,Check out our latest video on facebook!,3798.00,31.00,279.00,75960.00,75813.00,266.00,#PepsiCoRefresh,SummerSplash,4108.00,5.41%,SummerSplash,15-06-2024,15-07-2024,"? 1,50,000.00"
P177,Instagram,10-07-2024,Carousel,Check out our latest carousel on instagram!,3099.00,694.00,171.00,43386.00,42921.00,52.00,#PepsiCoRefresh,NewYearRefresh,3964.00,9.14%,SummerSplash,15-06-2024,15-07-2024,"? 1,50,000.00"
P178,Instagram,07-11-2024,Video,Check out our latest video on instagram!,129.00,643.00,136.00,1290.00,839.00,238.00,#PepsiCoRefresh,DailyWellness,908.00,70.39%,No Campaign,,,
P179,Facebook,15-07-2024,Carousel,Check out our latest carousel on facebook!,3796.00,667.00,395.00,64532.00,63550.00,292.00,#PepsiCoRefresh,,4858.00,7.53%,SummerSplash,15-06-2024,15-07-2024,"? 1,50,000.00"
P180,YouTube,03-12-2024,Text,Check out our latest text on youtube!,3711.00,352.00,290.00,48243.00,47579.00,11.00,#PepsiCoRefresh,SummerSplash,4353.00,9.02%,No Campaign,,,
P181,YouTube,21-03-2025,Image,Check out our latest image on youtube!,606.00,789.00,470.00,7878.00,7389.00,239.00,#ThirstyForMore,NewYearRefresh,1865.00,23.67%,DailyWellness,01-03-2025,31-03-2025,"? 1,80,000.00"
P182,Facebook,31-07-2024,Image,Check out our latest image on facebook!,4689.00,134.00,403.00,51579.00,50924.00,173.00,#PepsiCoRefresh,DailyWellness,5226.00,10.13%,No Campaign,,,
P183,Instagram,17-12-2024,Story,Check out our latest story on instagram!,360.00,590.00,393.00,4680.00,4322.00,208.00,#LiveForNow,FestiveRadiance,1343.00,28.70%,No Campaign,,,
P184,Twitter,28-07-2024,Image,Check out our latest image on twitter!,3215.00,960.00,202.00,32150.00,31404.00,251.00,#ThirstyForMore,SummerSplash,4377.00,13.61%,No Campaign,,,
P185,Instagram,11-01-2025,Carousel,Check out our latest carousel on instagram!,4523.00,61.00,157.00,49753.00,49329.00,71.00,#ThirstyForMore,,4741.00,9.53%,No Campaign,,,
P186,Facebook,24-08-2024,Carousel,Check out our latest carousel on facebook!,4292.00,51.00,392.00,55796.00,54826.00,264.00,#ThirstyForMore,NewYearRefresh,4735.00,8.49%,No Campaign,,,
P187,Twitter,22-12-2024,Reel,Check out our latest reel on twitter!,1644.00,546.00,150.00,27948.00,27184.00,300.00,#ThirstyForMore,NewYearRefresh,2340.00,8.37%,No Campaign,,,
P188,YouTube,06-06-2024,Reel,Check out our latest reel on youtube!,2728.00,533.00,215.00,40920.00,40816.00,137.00,#LiveForNow,FestiveRadiance,3476.00,8.49%,No Campaign,,,
P189,Facebook,24-03-2025,Reel,Check out our latest reel on facebook!,3360.00,525.00,500.00,60480.00,59610.00,192.00,#PepsiCoRefresh,SummerSplash,4385.00,7.25%,DailyWellness,01-03-2025,31-03-2025,"? 1,80,000.00"
P190,YouTube,04-10-2024,Text,Check out our latest text on youtube!,1963.00,213.00,19.00,39260.00,38771.00,145.00,#LiveForNow,,2195.00,5.59%,FestiveRadiance,01-10-2024,31-10-2024,"? 2,00,000.00"
P191,YouTube,03-12-2024,Story,Check out our latest story on youtube!,4285.00,886.00,376.00,55705.00,55556.00,51.00,#LiveForNow,NewYearRefresh,5547.00,9.96%,No Campaign,,,
P192,Instagram,29-11-2024,Video,Check out our latest video on instagram!,1176.00,464.00,394.00,14112.00,13588.00,272.00,#ThirstyForMore,,2034.00,14.41%,No Campaign,,,
P193,Twitter,11-09-2024,Image,Check out our latest image on twitter!,4858.00,317.00,129.00,53438.00,52687.00,223.00,#ThirstyForMore,NewYearRefresh,5304.00,9.93%,No Campaign,,,
P194,YouTube,02-10-2024,Story,Check out our latest story on youtube!,4350.00,771.00,7.00,60900.00,60592.00,195.00,#ThirstyForMore,SummerSplash,5128.00,8.42%,FestiveRadiance,01-10-2024,31-10-2024,"? 2,00,000.00"
P195,Instagram,15-08-2024,Carousel,Check out our latest carousel on instagram!,914.00,464.00,246.00,11882.00,11500.00,282.00,#LiveForNow,DailyWellness,1624.00,13.67%,No Campaign,,,
P195,Instagram,15-08-2024,Carousel,Check out our latest carousel on instagram!,914.00,464.00,246.00,11882.00,11500.00,282.00,#PepsiCoRefresh,DailyWellness,1624.00,13.67%,No Campaign,,,
P195,Instagram,15-08-2024,Carousel,Check out our latest carousel on instagram!,914.00,464.00,246.00,11882.00,11500.00,282.00,#AnytimeIsPepsiTime,DailyWellness,1624.00,13.67%,No Campaign,,,
P196,Instagram,19-12-2024,Text,Check out our latest text on instagram!,1813.00,623.00,72.00,19943.00,18959.00,85.00,#ThirstyForMore,NewYearRefresh,2508.00,12.58%,No Campaign,,,
P197,Twitter,22-10-2024,Reel,Check out our latest reel on twitter!,4782.00,721.00,82.00,86076.00,85339.00,19.00,#ThirstyForMore,SummerSplash,5585.00,6.49%,FestiveRadiance,01-10-2024,31-10-2024,"? 2,00,000.00"
P198,Twitter,14-09-2024,Image,Check out our latest image on twitter!,1048.00,374.00,450.00,9432.00,8882.00,158.00,#PepsiCoRefresh,NewYearRefresh,1872.00,19.85%,No Campaign,,,
P199,YouTube,30-11-2024,Carousel,Check out our latest carousel on youtube!,2509.00,324.00,171.00,35126.00,34685.00,277.00,#PepsiCoRefresh,FestiveRadiance,3004.00,8.55%,No Campaign,,,
P200,Facebook,07-04-2025,Reel,Check out our latest reel on facebook!,3718.00,385.00,310.00,70642.00,69749.00,233.00,#PepsiCoRefresh,FestiveRadiance,4413.00,6.25%,No Campaign,,,
P201,Twitter,15-01-2025,Reel,Check out our latest reel on twitter!,802.00,262.00,244.00,14436.00,14280.00,49.00,#ThirstyForMore,SummerSplash,1308.00,9.06%,No Campaign,,,
P202,Facebook,02-06-2024,Image,Check out our latest image on facebook!,1871.00,252.00,335.00,29936.00,29576.00,288.00,#ThirstyForMore,NewYearRefresh,2458.00,8.21%,No Campaign,,,
P203,Instagram,21-11-2024,Carousel,Check out our latest carousel on instagram!,3773.00,299.00,38.00,71687.00,71447.00,286.00,#LiveForNow,SummerSplash,4110.00,5.73%,No Campaign,,,
P204,Instagram,01-01-2025,Carousel,Check out our latest carousel on instagram!,2234.00,653.00,432.00,11170.00,10569.00,198.00,#LiveForNow,NewYearRefresh,3319.00,29.71%,NewYearRefresh,25-12-2024,10-01-2025,"? 2,50,000.00"
P205,Twitter,24-04-2025,Video,Check out our latest video on twitter!,3820.00,697.00,268.00,45840.00,45631.00,171.00,#PepsiCoRefresh,DailyWellness,4785.00,10.44%,No Campaign,,,
P205,Twitter,24-04-2025,Video,Check out our latest video on twitter!,3820.00,697.00,268.00,45840.00,45631.00,171.00,#SmoothLikeNitroPepsi,DailyWellness,4785.00,10.44%,No Campaign,,,
P206,Twitter,24-06-2024,Text,Check out our latest text on twitter!,941.00,121.00,458.00,14115.00,13838.00,87.00,#ThirstyForMore,SummerSplash,1520.00,10.77%,SummerSplash,15-06-2024,15-07-2024,"? 1,50,000.00"
